excel_row_1_based,name,scholar_profile_id_excel,profile_url,local_match_count,local_profile_id,local_name,has_profile_json,has_chunks,all_local_profile_ids
6,,nan,https://engineering.osu.edu/people/sanghvi.40,1,3f6e2745-27f4-45b0-87d0-51abab545dc1,Aarnav Sanghvi,True,False,3f6e2745-27f4-45b0-87d0-51abab545dc1
10,,nan,https://medicine.osu.edu/find-faculty/clinical/family-medicine/aaron-clark-do,0,,,False,False,
11,,nan,na,0,,,False,False,
12,,nan,https://cph.osu.edu/people/afields,1,1fbb392e-2313-4063-be67-408845272d0c,Aaron Fields,True,False,1fbb392e-2313-4063-be67-408845272d0c
13,,nan,na,0,,,False,False,
20,,nan,https://pathology.osu.edu/faculty/victor.html,1,87091cb5-9b02-4a3e-a01f-dd05d05721bb,Aaron Victor,True,False,87091cb5-9b02-4a3e-a01f-dd05d05721bb
21,,nan,https://optometry.osu.edu/directory/faculty/aaron-zimmerman,1,6c76ccc7-4b0c-4e5f-971a-936921ee95b5,Aaron Zimmerman,True,False,6c76ccc7-4b0c-4e5f-971a-936921ee95b5
22,,nan,https://wexnermedical.osu.edu/find-a-doctor/aashka-patel-aprn-cnm-80734,1,18abc6c7-52a1-4c45-9226-922e571707d5,Aashka Patel,True,False,18abc6c7-52a1-4c45-9226-922e571707d5
24,,nan,https://pathology.osu.edu/faculty/limbach.html,1,c80cb232-aae8-41d2-b972-ebce9c74924b,Abberly Lott Limbach,True,False,c80cb232-aae8-41d2-b972-ebce9c74924b
26,,nan,https://fisher.osu.edu/people/christian.276,1,1d5ce3a0-817a-4f61-8320-16fbdad0f7b9,Abbey Christian,True,False,1d5ce3a0-817a-4f61-8320-16fbdad0f7b9
40,,nan,https://cancer.osu.edu/find-a-doctor/search-physician-directory/abdullah-m-khan,0,,,False,False,
43,,nan,https://engineering.osu.edu/people/albattah.1,1,a7d76a4c-288f-481b-b0f5-e231daa31d49,Abdulraheem Albattah,True,False,a7d76a4c-288f-481b-b0f5-e231daa31d49
46,,nan,https://pathology.osu.edu/faculty/asatoskar.html,1,5cc6f79e-4e55-4033-8928-42f9e5569ae8,Abhay Satoskar,True,False,5cc6f79e-4e55-4033-8928-42f9e5569ae8
55,,nan,https://cph.osu.edu/people/aturner,1,470a94f6-f328-444a-aaa4-7067d81b06ed,Abigail Norris Turner,True,False,470a94f6-f328-444a-aaa4-7067d81b06ed
57,,nan,https://cph.osu.edu/people/ashoben,1,0c6d7c0b-9007-40fd-b2d2-068a6b80477f,Abigail Shoben,True,False,0c6d7c0b-9007-40fd-b2d2-068a6b80477f
60,,nan,https://wexnermedical.osu.edu/find-a-doctor/abirami-thiyagarajan-md-123811,1,2e594c3f-0c89-4dc3-b964-273b2724e37b,Abirami Thiyagarajan,True,False,2e594c3f-0c89-4dc3-b964-273b2724e37b
61,,nan,https://medicine.osu.edu/find-faculty/clinical/bioethics/abraham-graber,1,c9a27deb-5cdb-43e1-aeef-32f5610b5639,Abraham Graber,True,False,c9a27deb-5cdb-43e1-aeef-32f5610b5639
62,,nan,https://wexnermedical.osu.edu/find-a-doctor/abraham-korman-md-78212,1,10ab9d31-7acf-4762-a6a6-7be924a497c8,Abraham Korman,True,False,10ab9d31-7acf-4762-a6a6-7be924a497c8
