file,scholar,num_urls,unique_urls,distinct_domains,categories,accuracy,uniqueness,richness,quantity,overall
albert-chao-83b357c2.txt,Albert Chao,9,9,7,other:4|faculty_osu:3|academic_profile:1|publications:1,10.0,10.0,8.6,8.5,9.4
allison-kelly-54a0d2d9.txt,Allison Kelly,9,9,8,other:5|university:2|faculty_osu:1|academic_profile:1,10.0,10.0,8.6,8.5,9.4
anthony-shoup-8ad4bbfb.txt,Anthony Shoup,8,8,6,faculty_osu:3|other:3|academic_profile:1|publications:1,10.0,10.0,8.6,8.5,9.4
claudia-turro-268952c2.txt,Claudia Turro,12,12,9,faculty_osu:4|other:4|academic_profile:2|university:1|encyclopedia:1,9.2,10.0,10.0,8.5,9.4
daniel-conway-8b48378f.txt,Daniel Conway,11,11,7,faculty_osu:5|academic_profile:2|other:2|university:1|gov:1,9.1,10.0,10.0,8.5,9.4
dave-moore-96c57f8d.txt,Dave Moore,8,8,5,faculty_osu:4|academic_profile:2|university:1|gov:1,10.0,10.0,8.6,8.5,9.4
isil-erel-d7a808fe.txt,Isil Erel,12,12,8,faculty_osu:5|other:4|academic_profile:2|university:1,10.0,10.0,8.6,8.5,9.4
james-chen-82e8caf8.txt,James Chen,10,10,6,faculty_osu:5|other:3|academic_profile:1|university:1,10.0,10.0,8.6,8.5,9.4
james-toney-3e082dc2.txt,James Toney,8,8,6,academic_profile:3|faculty_osu:2|other:2|university:1,10.0,10.0,8.6,8.5,9.4
james-williams-afbd533c.txt,James Williams,7,7,6,faculty_osu:2|other:2|academic_profile:1|university:1|encyclopedia:1,10.0,10.0,10.0,7.0,9.4
stephen-turk-83f19050.txt,Stephen Turk,9,9,7,faculty_osu:3|other:3|academic_profile:2|university:1,10.0,10.0,8.6,8.5,9.4
steve-yurkovich-e2b76a58.txt,Steve Yurkovich,7,7,5,faculty_osu:2|university:2|academic_profile:1|other:1|encyclopedia:1,10.0,10.0,10.0,7.0,9.4
terri-fisher-33f2f4e5.txt,Terri Fisher,7,7,6,university:3|faculty_osu:1|academic_profile:1|encyclopedia:1|other:1,10.0,10.0,10.0,7.0,9.4
yoonkyung-lee-76418b32.txt,Yoonkyung Lee,12,12,7,faculty_osu:5|academic_profile:4|university:1|other:1|encyclopedia:1,9.2,10.0,10.0,8.5,9.4
ana-paula-correia-30ac494c.txt,Ana Paula Correia,9,9,7,faculty_osu:3|academic_profile:2|other:2|university:1|encyclopedia:1,8.9,10.0,10.0,8.5,9.3
david-wood-70e2ab94.txt,David Wood,8,8,6,faculty_osu:3|other:2|academic_profile:1|university:1|encyclopedia:1,8.8,10.0,10.0,8.5,9.3
legacy-2564d580.txt,Legacy,18,18,9,other:14|faculty_osu:2|academic_profile:1|university:1,8.9,10.0,8.6,10.0,9.3
kay-bea-jones-69958c4f.txt,Kay Bea Jones,14,14,5,faculty_osu:10|other:2|publications:1|academic_profile:1,8.6,10.0,8.6,10.0,9.2
marcus-kurtz-f5c97c5d.txt,Marcus Kurtz,17,17,10,faculty_osu:7|other:5|academic_profile:2|publications:2|encyclopedia:1,7.6,10.0,10.0,10.0,9.2
angela-brintlinger-2c7ea857.txt,Angela Brintlinger,17,17,10,faculty_osu:8|other:7|academic_profile:2,9.4,10.0,7.2,10.0,9.1
benjamin-flowers-5cd5720b.txt,Benjamin Flowers,5,5,5,other:2|faculty_osu:1|academic_profile:1|encyclopedia:1,10.0,10.0,8.6,7.0,9.1
cynthia-tyson-27ffa383.txt,Cynthia Tyson,11,11,9,other:6|faculty_osu:2|academic_profile:1|publications:1|books:1,8.2,10.0,10.0,8.5,9.1
david-williams-afe71d81.txt,David Williams,11,11,10,other:4|academic_profile:3|faculty_osu:2|university:1|encyclopedia:1,8.2,10.0,10.0,8.5,9.1
frank-li-4d69b694.txt,Frank Li,6,6,6,other:3|faculty_osu:1|academic_profile:1|university:1,10.0,10.0,8.6,7.0,9.1
mark-failla-5471f7f5.txt,Mark Failla,6,6,6,academic_profile:2|other:2|faculty_osu:1|encyclopedia:1,10.0,10.0,8.6,7.0,9.1
nathan-craig-7aa41dce.txt,Nathan Craig,6,6,5,faculty_osu:2|other:2|academic_profile:1|university:1,10.0,10.0,8.6,7.0,9.1
patricia-j-zettler-3438043c.txt,Patricia J Zettler,6,6,5,faculty_osu:2|other:2|academic_profile:1|university:1,10.0,10.0,8.6,7.0,9.1
robin-soster-552b154a.txt,Robin Soster,6,6,5,academic_profile:3|faculty_osu:1|university:1|other:1,10.0,10.0,8.6,7.0,9.1
sean-hill-afc240c2.txt,Sean Hill,5,5,5,other:2|faculty_osu:1|academic_profile:1|university:1,10.0,10.0,8.6,7.0,9.1
yidan-wang-ea4a6db1.txt,Yidan Wang,7,7,5,university:3|faculty_osu:2|academic_profile:1|other:1,10.0,10.0,8.6,7.0,9.1
ajit-chaudhari-4eedba6c.txt,Ajit Chaudhari,9,9,6,faculty_osu:4|academic_profile:2|other:2|publications:1,8.9,10.0,8.6,8.5,9.0
brian-strzempkowski-84577e2d.txt,Brian Strzempkowski,13,13,6,faculty_osu:8|other:4|academic_profile:1,9.2,10.0,7.2,10.0,9.0
colleen-spees-cbc85f67.txt,Colleen Spees,9,9,7,other:5|faculty_osu:3|academic_profile:1,10.0,10.0,7.2,8.5,9.0
courtenay-moore-2c1b7ddb.txt,Courtenay Moore,8,8,8,other:6|faculty_osu:1|academic_profile:1,10.0,10.0,7.2,8.5,9.0
courtney-ross-81cddb43.txt,Courtney Ross,8,8,6,other:4|faculty_osu:3|academic_profile:1,10.0,10.0,7.2,8.5,9.0
